tradeday_ID,Symbol,Open,High,Low,Close,Date,Weekday
22376,SPX,2276.69,2283.97,2271.65,2280.85,2017-02-03,Friday
22377,SPX,2288.54,2298.31,2287.88,2297.42,2017-02-06,Monday
22378,SPX,2294.28,2296.18,2288.57,2292.56,2017-02-07,Tuesday
22379,SPX,2295.87,2299.4,2290.16,2293.08,2017-02-08,Wednesday
22380,SPX,2289.55,2295.91,2285.38,2294.67,2017-02-09,Thursday
22381,SPX,2296.7,2311.08,2296.61,2307.87,2017-02-10,Friday
22382,SPX,2312.27,2319.23,2311.1,2316.1,2017-02-13,Monday
22383,SPX,2321.72,2331.58,2321.42,2328.25,2017-02-14,Tuesday
22384,SPX,2326.12,2337.58,2322.17,2337.58,2017-02-15,Wednesday
22385,SPX,2335.58,2351.3,2334.81,2349.25,2017-02-16,Thursday
22386,SPX,2349.64,2351.31,2338.87,2347.22,2017-02-17,Friday
22387,SPX,2343.01,2351.16,2339.58,2351.16,2017-02-21,Tuesday
22388,SPX,2354.91,2366.71,2354.91,2365.38,2017-02-22,Wednesday
22389,SPX,2361.11,2365.13,2358.34,2362.82,2017-02-23,Thursday
22390,SPX,2367.5,2368.26,2355.09,2363.81,2017-02-24,Friday
22391,SPX,2355.73,2367.34,2352.87,2367.34,2017-02-27,Monday
22392,SPX,2365.23,2371.54,2361.87,2369.75,2017-02-28,Tuesday
22393,SPX,2366.08,2367.79,2358.96,2363.64,2017-03-01,Wednesday
22394,SPX,2380.13,2400.98,2380.13,2395.96,2017-03-02,Thursday
22395,SPX,2394.75,2394.75,2380.17,2381.92,2017-03-03,Friday
22396,SPX,2380.92,2383.89,2375.39,2383.12,2017-03-06,Monday
22397,SPX,2375.23,2378.8,2367.98,2375.31,2017-03-07,Tuesday
22398,SPX,2370.74,2375.12,2365.51,2368.39,2017-03-08,Wednesday
22399,SPX,2369.81,2373.09,2361.01,2362.98,2017-03-09,Thursday
22400,SPX,2363.49,2369.08,2354.54,2364.87,2017-03-10,Friday
22401,SPX,2372.52,2376.86,2363.04,2372.6,2017-03-13,Monday
22402,SPX,2371.56,2374.42,2368.52,2373.47,2017-03-14,Tuesday
22403,SPX,2368.55,2368.55,2358.18,2365.45,2017-03-15,Wednesday
22404,SPX,2370.34,2390.01,2368.94,2385.26,2017-03-16,Thursday
22405,SPX,2387.71,2388.1,2377.18,2381.38,2017-03-17,Friday
22406,SPX,2383.71,2385.71,2377.64,2378.25,2017-03-20,Monday
22407,SPX,2378.24,2379.55,2369.66,2373.47,2017-03-21,Tuesday
22408,SPX,2379.32,2381.93,2341.9,2344.02,2017-03-22,Wednesday
22409,SPX,2343.0,2351.81,2336.45,2348.45,2017-03-23,Thursday
22410,SPX,2345.97,2358.92,2342.13,2345.96,2017-03-24,Friday
22411,SPX,2350.42,2356.22,2335.74,2343.98,2017-03-27,Monday
22412,SPX,2329.11,2344.9,2322.25,2341.59,2017-03-28,Tuesday
22413,SPX,2339.79,2363.78,2337.63,2358.57,2017-03-29,Wednesday
22414,SPX,2356.54,2363.36,2352.94,2361.13,2017-03-30,Thursday
22415,SPX,2361.31,2370.42,2358.58,2368.06,2017-03-31,Friday
22416,SPX,2364.82,2370.35,2362.6,2362.72,2017-04-03,Monday
22417,SPX,2362.34,2365.87,2344.73,2358.84,2017-04-04,Tuesday
22418,SPX,2354.76,2360.53,2350.72,2360.16,2017-04-05,Wednesday
22419,SPX,2366.59,2378.36,2350.52,2352.95,2017-04-06,Thursday
22420,SPX,2353.79,2364.16,2348.9,2357.49,2017-04-07,Friday
22421,SPX,2356.59,2363.76,2350.74,2355.54,2017-04-10,Monday
22422,SPX,2357.16,2366.37,2351.5,2357.16,2017-04-11,Tuesday
22423,SPX,2353.92,2355.22,2337.25,2353.78,2017-04-12,Wednesday
22424,SPX,2352.15,2352.72,2341.18,2344.93,2017-04-13,Thursday
22425,SPX,2341.98,2348.26,2328.95,2328.95,2017-04-17,Monday
22426,SPX,2332.62,2349.14,2332.51,2349.01,2017-04-18,Tuesday
22427,SPX,2342.53,2348.35,2334.54,2342.19,2017-04-19,Wednesday
22428,SPX,2346.79,2352.63,2335.05,2338.17,2017-04-20,Thursday
22429,SPX,2342.69,2361.37,2340.91,2355.84,2017-04-21,Friday
22430,SPX,2354.74,2356.18,2344.51,2348.69,2017-04-24,Monday
22431,SPX,2370.33,2376.98,2369.19,2374.15,2017-04-25,Tuesday
22432,SPX,2381.51,2392.48,2381.15,2388.61,2017-04-26,Wednesday
22433,SPX,2388.98,2398.16,2386.76,2387.45,2017-04-27,Thursday
22434,SPX,2389.7,2392.1,2382.68,2388.77,2017-04-28,Friday
22435,SPX,2393.68,2393.68,2382.36,2384.2,2017-05-01,Monday
22436,SPX,2388.5,2394.49,2384.83,2388.33,2017-05-02,Tuesday
22437,SPX,2391.05,2392.93,2385.82,2391.17,2017-05-03,Wednesday
